epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.0945555567741394,0.6238756775856018,0.10158895701169968,0.6636983752250671,0.14399999380111694,0.5320813655853271,0.09086588770151138,0.5677008628845215
1,0.32144445180892944,0.45918697118759155,0.08577176928520203,0.4928094148635864,0.45266667008399963,0.394389808177948,0.08100144565105438,0.4261424243450165
2,0.4584444463253021,0.3789317011833191,0.07614699006080627,0.40878134965896606,0.49399998784065247,0.3551521301269531,0.0725531205534935,0.3835929334163666
3,0.5249999761581421,0.34025993943214417,0.06776867061853409,0.3668251931667328,0.527999997138977,0.34153446555137634,0.06368463486433029,0.36649882793426514
4,0.558555543422699,0.31972768902778625,0.06037995219230652,0.34339669346809387,0.5699999928474426,0.3149835169315338,0.057773273438215256,0.33763062953948975
5,0.5855555534362793,0.30308133363723755,0.056687913835048676,0.32530298829078674,0.5973333120346069,0.2969852387905121,0.0571242980659008,0.3193780183792114
6,0.6133333444595337,0.28722822666168213,0.054083291441202164,0.30842891335487366,0.6039999723434448,0.2832738161087036,0.05171641707420349,0.303546667098999
7,0.6354444622993469,0.27478164434432983,0.05129104480147362,0.29488784074783325,0.6140000224113464,0.27931317687034607,0.05013903230428696,0.2989676594734192
8,0.6495555639266968,0.26609984040260315,0.04937741532921791,0.2854557931423187,0.6286666393280029,0.2701231837272644,0.047983963042497635,0.2889328896999359
9,0.660111129283905,0.25780871510505676,0.04774167388677597,0.2765234410762787,0.6466666460037231,0.2602977454662323,0.04723706468939781,0.2788147032260895
10,0.6744444370269775,0.2487705647945404,0.046684928238391876,0.2670709788799286,0.6493333578109741,0.2566157281398773,0.04548785835504532,0.2744469940662384
11,0.6826666593551636,0.2414102405309677,0.045087143778800964,0.2590843439102173,0.6633333563804626,0.2539502680301666,0.04460262134671211,0.2714344561100006
12,0.6980000138282776,0.2356596738100052,0.0446891225874424,0.25317785143852234,0.6646666526794434,0.25074756145477295,0.045526836067438126,0.26859405636787415
13,0.7035555839538574,0.2286888062953949,0.044298991560935974,0.246054008603096,0.6733333468437195,0.24296510219573975,0.04396649822592735,0.2601999342441559
14,0.7117778062820435,0.22313913702964783,0.04341619461774826,0.2401583045721054,0.6713333129882812,0.24260973930358887,0.04341091960668564,0.2596267759799957
15,0.7136666774749756,0.22016370296478271,0.042891137301921844,0.23697707056999207,0.6846666932106018,0.23540829122066498,0.0432572178542614,0.2523650825023651
16,0.7242222428321838,0.21560950577259064,0.04251401126384735,0.23227494955062866,0.6819999814033508,0.2380567044019699,0.043015096336603165,0.25491863489151
17,0.7310000061988831,0.211710125207901,0.04196825623512268,0.22816170752048492,0.6933333277702332,0.23109804093837738,0.04244503006339073,0.24773648381233215
18,0.7350000143051147,0.20925001800060272,0.04167580232024193,0.2255869358778,0.6886666417121887,0.23144349455833435,0.04192878678441048,0.24787959456443787
19,0.7334444522857666,0.20647300779819489,0.04135226085782051,0.22268307209014893,0.690666675567627,0.22969071567058563,0.041844870895147324,0.24609391391277313
20,0.7436666488647461,0.20306217670440674,0.04087495431303978,0.21908517181873322,0.7013333439826965,0.22547027468681335,0.041684217751026154,0.24181048572063446
21,0.7506666779518127,0.2009117156267166,0.040580201894044876,0.21681909263134003,0.6926666498184204,0.225948765873909,0.04144533351063728,0.24219533801078796
22,0.7453333139419556,0.19909754395484924,0.04038825258612633,0.21492978930473328,0.6919999718666077,0.2254888266324997,0.04111199080944061,0.24160471558570862
23,0.7532222270965576,0.19694334268569946,0.04000990092754364,0.21262721717357635,0.7013333439826965,0.22309453785419464,0.0411660298705101,0.2392316460609436
24,0.7526666522026062,0.19578444957733154,0.03987990319728851,0.21141736209392548,0.70333331823349,0.22228263318538666,0.041005589067935944,0.2383568286895752
25,0.7597777843475342,0.19252924621105194,0.039612337946891785,0.20805726945400238,0.7020000219345093,0.22119030356407166,0.04061239957809448,0.23711034655570984
26,0.7611111402511597,0.19033294916152954,0.03967302665114403,0.20588484406471252,0.7059999704360962,0.219660222530365,0.04058791697025299,0.23557068407535553
27,0.7602221965789795,0.18984510004520416,0.03911185264587402,0.2051769196987152,0.7053333520889282,0.22065657377243042,0.04039359837770462,0.23649083077907562
28,0.7684444189071655,0.1878969371318817,0.039141666144132614,0.20324042439460754,0.7093333601951599,0.2175975739955902,0.04039739817380905,0.23343336582183838
29,0.7666666507720947,0.18805576860904694,0.03911680355668068,0.20338961482048035,0.7093333601951599,0.2182864546775818,0.04060744121670723,0.23420459032058716
